Orthographic,Phonemic,Orthographic_Unicode,Phoneme_Unicode
꿸,k͈wel,U+AFF8,U+006B U+0348 U+0077 U+0065 U+006C
뀀,k͈wem,U+B000,U+006B U+0348 U+0077 U+0065 U+006D
뀌,k͈wi,U+B00C,U+006B U+0348 U+0077 U+0069
뀟,k͈wis,U+B01F,U+006B U+0348 U+0077 U+0069 U+0073
끄,k͈ɨ,U+B044,U+006B U+0348 U+0268
끅,k͈ɨk,U+B045,U+006B U+0348 U+0268 U+006B
끈,k͈ɨn,U+B048,U+006B U+0348 U+0268 U+006E
끊,k͈ɨnh,U+B04A,U+006B U+0348 U+0268 U+006E U+0068
끌,k͈ɨl,U+B04C,U+006B U+0348 U+0268 U+006C
끍,k͈ɨlk,U+B04D,U+006B U+0348 U+0268 U+006C U+006B
끎,k͈ɨlm,U+B04E,U+006B U+0348 U+0268 U+006C U+006D
끓,k͈ɨlh,U+B053,U+006B U+0348 U+0268 U+006C U+0068
끔,k͈ɨm,U+B054,U+006B U+0348 U+0268 U+006D
끕,k͈ɨp,U+B055,U+006B U+0348 U+0268 U+0070
끗,k͈ɨs,U+B057,U+006B U+0348 U+0268 U+0073
끙,k͈ɨŋ,U+B059,U+006B U+0348 U+0268 U+014B
끝,k͈ɨtʰ,U+B05D,U+006B U+0348 U+0268 U+0074 U+02B0
끠,k͈ɨi,U+B060,U+006B U+0348 U+0268 U+0069
끼,k͈i,U+B07C,U+006B U+0348 U+0069
끽,k͈ik,U+B07D,U+006B U+0348 U+0069 U+006B
낀,k͈in,U+B080,U+006B U+0348 U+0069 U+006E
낄,k͈il,U+B084,U+006B U+0348 U+0069 U+006C
낌,k͈im,U+B08C,U+006B U+0348 U+0069 U+006D
낏,k͈is,U+B08F,U+006B U+0348 U+0069 U+0073
낑,k͈iŋ,U+B091,U+006B U+0348 U+0069 U+014B
나,na,U+B098,U+006E U+0061
낙,nak,U+B099,U+006E U+0061 U+006B
낚,nak͈,U+B09A,U+006E U+0061 U+006B U+0348
난,nan,U+B09C,U+006E U+0061 U+006E
낟,nat,U+B09F,U+006E U+0061 U+0074
날,nal,U+B0A0,U+006E U+0061 U+006C
낡,nalk,U+B0A1,U+006E U+0061 U+006C U+006B
남,nam,U+B0A8,U+006E U+0061 U+006D
납,nap,U+B0A9,U+006E U+0061 U+0070
낫,nas,U+B0AB,U+006E U+0061 U+0073
낭,naŋ,U+B0AD,U+006E U+0061 U+014B
낮,natʃ,U+B0AE,U+006E U+0061 U+0074 U+0283
낯,natʃʰ,U+B0AF,U+006E U+0061 U+0074 U+0283 U+02B0
낱,natʰ,U+B0B1,U+006E U+0061 U+0074 U+02B0
낳,nah,U+B0B3,U+006E U+0061 U+0068
내,nɛ,U+B0B4,U+006E U+025B
낵,nɛk,U+B0B5,U+006E U+025B U+006B
낸,nɛn,U+B0B8,U+006E U+025B U+006E
낼,nɛl,U+B0BC,U+006E U+025B U+006C
냄,nɛm,U+B0C4,U+006E U+025B U+006D
냅,nɛp,U+B0C5,U+006E U+025B U+0070
냇,nɛs,U+B0C7,U+006E U+025B U+0073
냉,nɛŋ,U+B0C9,U+006E U+025B U+014B
냐,nja,U+B0D0,U+006E U+006A U+0061
냑,njak,U+B0D1,U+006E U+006A U+0061 U+006B
